PSTAR: Stopping Powers and Range Tables for Protons

WATER, LIQUID                                                           

Kinetic   Electron. Total     
Energy    Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g 

2.110E+02 4.340E+00 4.341E+00 
2.120E+02 4.327E+00 4.328E+00 
2.130E+02 4.314E+00 4.315E+00 
2.140E+02 4.301E+00 4.303E+00 
2.150E+02 4.289E+00 4.290E+00 
2.160E+02 4.276E+00 4.278E+00 
2.170E+02 4.264E+00 4.265E+00 
2.180E+02 4.252E+00 4.253E+00 
2.190E+02 4.239E+00 4.241E+00 
2.200E+02 4.227E+00 4.229E+00 
2.210E+02 4.215E+00 4.217E+00 
2.220E+02 4.204E+00 4.205E+00 
2.230E+02 4.192E+00 4.193E+00 
2.240E+02 4.180E+00 4.182E+00 
2.250E+02 4.169E+00 4.170E+00 
2.260E+02 4.157E+00 4.159E+00 
2.270E+02 4.146E+00 4.147E+00 
2.280E+02 4.135E+00 4.136E+00 
2.290E+02 4.123E+00 4.125E+00 
2.300E+02 4.112E+00 4.114E+00 
2.310E+02 4.101E+00 4.103E+00 
2.320E+02 4.091E+00 4.092E+00 
2.330E+02 4.080E+00 4.081E+00 
2.340E+02 4.069E+00 4.070E+00 
2.350E+02 4.059E+00 4.060E+00 
2.360E+02 4.048E+00 4.049E+00 
2.370E+02 4.038E+00 4.039E+00 
2.380E+02 4.027E+00 4.029E+00 
2.390E+02 4.017E+00 4.018E+00 
2.400E+02 4.007E+00 4.008E+00 
2.410E+02 3.997E+00 3.998E+00 
2.420E+02 3.987E+00 3.988E+00 
2.430E+02 3.977E+00 3.978E+00 
2.440E+02 3.967E+00 3.968E+00 
2.450E+02 3.957E+00 3.958E+00 
2.460E+02 3.948E+00 3.949E+00 
2.470E+02 3.938E+00 3.939E+00 
2.480E+02 3.928E+00 3.930E+00 
2.490E+02 3.919E+00 3.920E+00 
2.500E+02 3.910E+00 3.911E+00 
