PSTAR: Stopping Powers and Range Tables for Protons

BONE, CORTICAL (ICRP)                                                   

Kinetic   Electron. Total     
Energy    Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g 

2.100E+02 3.918E+00 3.920E+00 
2.110E+02 3.907E+00 3.908E+00 
2.120E+02 3.895E+00 3.896E+00 
2.130E+02 3.884E+00 3.885E+00 
2.140E+02 3.872E+00 3.874E+00 
2.150E+02 3.861E+00 3.862E+00 
2.160E+02 3.850E+00 3.851E+00 
2.170E+02 3.839E+00 3.840E+00 
2.180E+02 3.828E+00 3.829E+00 
2.190E+02 3.817E+00 3.818E+00 
2.200E+02 3.806E+00 3.807E+00 
2.210E+02 3.796E+00 3.797E+00 
2.220E+02 3.785E+00 3.786E+00 
2.230E+02 3.774E+00 3.776E+00 
2.240E+02 3.764E+00 3.765E+00 
2.250E+02 3.754E+00 3.755E+00 
2.260E+02 3.744E+00 3.745E+00 
2.270E+02 3.733E+00 3.735E+00 
2.280E+02 3.723E+00 3.724E+00 
2.290E+02 3.713E+00 3.715E+00 
2.300E+02 3.704E+00 3.705E+00 
2.310E+02 3.694E+00 3.695E+00 
2.320E+02 3.684E+00 3.685E+00 
2.330E+02 3.674E+00 3.675E+00 
2.340E+02 3.665E+00 3.666E+00 
2.350E+02 3.655E+00 3.656E+00 
2.360E+02 3.646E+00 3.647E+00 
2.370E+02 3.637E+00 3.638E+00 
2.380E+02 3.627E+00 3.628E+00 
2.390E+02 3.618E+00 3.619E+00 
2.400E+02 3.609E+00 3.610E+00 
2.410E+02 3.600E+00 3.601E+00 
2.420E+02 3.591E+00 3.592E+00 
2.430E+02 3.582E+00 3.583E+00 
2.440E+02 3.574E+00 3.575E+00 
2.450E+02 3.565E+00 3.566E+00 
2.460E+02 3.556E+00 3.557E+00 
2.470E+02 3.548E+00 3.549E+00 
2.480E+02 3.539E+00 3.540E+00 
2.490E+02 3.531E+00 3.532E+00 
2.500E+02 3.522E+00 3.523E+00 
